Player,Pos,Team,APY,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,IAY/PA,Bad%,Prss%,OnTgt%
Lloyd Cushenberry,C,TEN,"$12,500,000",,,,,,,,,,,,,,,,,,,
Patrick Mekari,RG,JAX,"$12,500,000",,,,,,,,,,,,,,,,,,,
Jake Ferguson,TE,DAL,"$12,500,000",,,,,,,,,,,,,,,,,,,
Rashod Bateman,WR,BAL,"$12,250,000",,,,,,,,,,,,,,,,,,,
Alvin Kamara,RB,NO,"$12,250,000",,,,,,,,,,,,,,,,,,,
Cam Ward,QB,TEN,"$12,209,901",2,469.0,2.3,1.5,37.6,188.4,76.5,31.2,9.46,4.19,,,,,,7,19.3,27.1,73.4
Pat Freiermuth,TE,PIT,"$12,100,000",,,,,,,,,,,,,,,,,,,
Jonnu Smith,TE,PIT,"$12,010,000",,,,,,,,,,,,,,,,,,,
Dalton Schultz,TE,HOU,"$12,000,000",,,,,,,,,,,,,,,,,,,
Luke Wattenberg,C,DEN,"$12,000,000",,,,,,,,,,,,,,,,,,,
Austin Jackson,RT,MIA,"$12,000,000",,,,,,,,,,,,,,,,,,,
Josh Jacobs,RB,GB,"$12,000,000",,,,,,,,,,,,,,,,,,,
Cam Robinson,LT,CLE,"$12,000,000",,,,,,,,,,,,,,,,,,,
Darius Slayton,WR,NYG,"$12,000,000",,,,,,,,,,,,,,,,,,,
Erik McCoy,C,NO,"$12,000,000",,,,,,,,,,,,,,,,,,,
Travis Hunter,WR,JAX,"$11,662,278",,,,,,,,,,,,,,,,,,,
James Cook,RB,BUF,"$11,500,000",,,,,,,,,,,,,,,,,,,
Rob Havenstein,RT,LAR,"$11,500,000",,,,,,,,,,,,,,,,,,,
Evan Engram,TE,DEN,"$11,500,000",,,,,,,,,,,,,,,,,,,
Kyren Williams,RB,LAR,"$11,000,000",,,,,,,,,,,,,,,,,,,
Christian Watson,WR,GB,"$11,000,000",,,,,,,,,,,,,,,,,,,
Jakobi Meyers,WR,JAX,"$11,000,000",,,,,,,,,,,,,,,,,,,
Cesar Ruiz,RG,NO,"$11,000,000",,,,,,,,,,,,,,,,,,,
Will Campbell,LT,NE,"$10,915,525",,,,,,,,,,,,,,,,,,,
Russell Wilson,QB,NYG,"$10,500,000",0,119.0,2.5,2.5,38.0,138.5,77.4,26.4,7.75,5.35,-0.12,-15.68,-1.29,9.71,2.61,8.5,20.6,25.5,70.1
Juwan Johnson,TE,NO,"$10,250,000",,,,,,,,,,,,,,,,,,,
Aaron Jones,RB,MIN,"$10,000,000",,,,,,,,,,,,,,,,,,,
"Jon Runyan, Jr.",LG,NYG,"$10,000,000",,,,,,,,,,,,,,,,,,,
Dyami Brown,WR,JAX,"$10,000,000",,,,,,,,,,,,,,,,,,,
Josh Palmer,WR,BUF,"$10,000,000",,,,,,,,,,,,,,,,,,,
Dallas Goedert,TE,PHI,"$10,000,000",,,,,,,,,,,,,,,,,,,
Taysom Hill,TE,NO,"$10,000,000",,,,,,,,,,,,,,,,7.5,25,16.7,50
Mekhi Becton,RG,LAC,"$10,000,000",,,,,,,,,,,,,,,,,,,
Tutu Atwell,WR,LAR,"$10,000,000",,,,,,,,,,,,,,,,,,,
Tyler Biadasz,C,WAS,"$10,000,000",,,,,,,,,,,,,,,,,,,
Joe Mixon,RB,HOU,"$9,875,000",,,,,,,,,,,,,,,,,,,
Caleb Williams,QB,CHI,"$9,871,515",10,459.0,4.6,1.3,41.9,225.0,88.8,54.4,4.77,6.52,0.06,28.6,5.73,9.49,3.06,8.6,22.3,25,67.7
Dawson Knox,TE,BUF,"$9,833,333",,,,,,,,,,,,,,,,,,,
