Player,Pos,Team,APY,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,IAY/PA,Bad%,Prss%,OnTgt%
Andrew Vorhees,LG,BAL,"$985,528",,,,,,,,,,,,,,,,,,,
Kenny McIntosh,RB,SEA,"$982,646",,,,,,,,,,,,,,,,,,,
Cam Grandy,TE,CIN,"$980,000",,,,,,,,,,,,,,,,,,,
Alex Forsyth,C,DEN,"$979,446",,,,,,,,,,,,,,,,,,,
Spencer Anderson,RG,PIT,"$979,446",,,,,,,,,,,,,,,,,,,
Jake Browning,QB,CIN,"$972,500",0,125.0,4.8,6.4,38.8,154.2,71.1,33.8,6.72,3.51,-0.32,-52.89,6.79,7.99,2.73,7.6,15,26.1,70.8
Christopher Brooks,RB,GB,"$972,500",,,,,,,,,,,,,,,,,,,
Vederian Lowe,LT,NE,"$964,468",,,,,,,,,,,,,,,,,,,
Jalen Nailor,WR,MIN,"$960,165",,,,,,,,,,,,,,,,,,,
Tyrone Wheatley Jr.,RT,ATL,"$960,000",,,,,,,,,,,,,,,,,,,
Deneric Prince,RB,NE,"$960,000",,,,,,,,,,,,,,,,,,,
Jarrett Kingston,LG,HOU,"$960,000",,,,,,,,,,,,,,,,,,,
C.J. Hanson,RG,KC,"$960,000",,,,,,,,,,,,,,,,,,,
Kimani Vidal,RB,LAC,"$960,000",,,,,,,,,,,,,,,,,,,
Michael Niese,LG,DET,"$960,000",,,,,,,,,,,,,,,,,,,
Austen Pleasants,RT,SF,"$960,000",,,,,,,,,,,,,,,,,,,
Brenden Bates,TE,CLE,"$960,000",,,,,,,,,,,,,,,,,,,
Jelani Woods,TE,NYJ,"$960,000",,,,,,,,,,,,,,,,,,,
Mitchell Tinsley,WR,CIN,"$960,000",,,,,,,,,,,,,,,,,,,
Luke Tenuta,LT,IND,"$960,000",,,,,,,,,,,,,,,,,,,
Malachi Corley,WR,CLE,"$960,000",,,,,,,,,,,,,,,,,,,
Andrew Ogletree,TE,IND,"$959,548",,,,,,,,,,,,,,,,,,,
Jamaree Salyer,RG,LAC,"$958,983",,,,,,,,,,,,,,,,,,,
Grant Calcaterra,TE,PHI,"$958,535",,,,,,,,,,,,,,,,,,,
Ethan Driskell,RT,KC,"$956,667",,,,,,,,,,,,,,,,,,,
Dalton Tucker,RG,IND,"$956,667",,,,,,,,,,,,,,,,,,,
Connor Heyward,TE,PIT,"$953,806",,,,,,,,,,,,,,,,,,,
Xavier Weaver,WR,ARI,"$953,333",,,,,,,,,,,,,,,,,,,
Frank Crum,RT,DEN,"$951,667",,,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,TE,DAL,"$950,000",,,,,,,,,,,,,,,,,,,
Andrew Meyer,C,MIA,"$948,333",,,,,,,,,,,,,,,,,,,
British Brooks,RB,HOU,"$948,333",,,,,,,,,,,,,,,,,,,
Ko Kieft,TE,TB,"$948,003",,,,,,,,,,,,,,,,,,,
Kameron Johnson,WR,TB,"$946,667",,,,,,,,,,,,,,,,,,,
Colson Yankoff,RB,WAS,"$946,667",,,,,,,,,,,,,,,,,,,
Mason Tipton,WR,NO,"$946,667",,,,,,,,,,,,,,,,,,,
David Martin-Robinson,TE,TEN,"$945,833",,,,,,,,,,,,,,,,,,,
Jalen Sundell,LT,SEA,"$943,333",,,,,,,,,,,,,,,,,,,
Chris Paul,LG,WAS,"$941,112",,,,,,,,,,,,,,,,,,,
Dareke Young,WR,SEA,"$940,275",,,,,,,,,,,,,,,,,,,
Rasheed Walker,LT,GB,"$935,219",,,,,,,,,,,,,,,,,,,
Isiah Pacheco,RB,KC,"$934,777",,,,,,,,,,,,,,,,,,,
Gage Larvadain,WR,CLE,"$922,500",,,,,,,,,,,,,,,,,,,
Esa Pole,LT,KC,"$922,500",,,,,,,,,,,,,,,,,,,
Corey Kiner,RB,ARI,"$922,500",,,,,,,,,,,,,,,,,,,
William Sherman,LG,NO,"$922,500",,,,,,,,,,,,,,,,,,,
Jeremiah Byers,RT,CLE,"$922,500",,,,,,,,,,,,,,,,,,,
Luke Haggard,LT,TB,"$922,500",,,,,,,,,,,,,,,,,,,
Kedon Slovis,QB,ARI,"$922,500",nan,2.0,0.0,0.0,,-1.0,56.2,0.3,0.0,-1.0,-1.07,-2.15,0.0,1.5,2.13,1.5,50,0,50
Ke'Shawn Williams,WR,PIT,"$922,500",,,,,,,,,,,,,,,,,,,
Cameron Latu,TE,PHI,"$922,500",,,,,,,,,,,,,,,,,,,
Brandon Crenshaw-Dickson,RT,TEN,"$922,500",,,,,,,,,,,,,,,,,,,
Brady Cook,QB,NYJ,"$922,500",0,63.0,1.6,7.9,37.5,169.5,44.3,19.1,12.5,1.18,-0.41,-46.86,-3.3,6.81,2.36,6.6,19.8,25.6,69.8
Carter Runyon,TE,LV,"$922,500",,,,,,,,,,,,,,,,,,,
Dylan Drummond,WR,ATL,"$922,500",,,,,,,,,,,,,,,,,,,
CJ Dippre,TE,NE,"$922,500",,,,,,,,,,,,,,,,,,,
Bryce Ford-Wheaton,WR,NYG,"$905,000",,,,,,,,,,,,,,,,,,,
Alex Palczewski,LT,DEN,"$905,000",,,,,,,,,,,,,,,,,,,
Keaton Mitchell,RB,BAL,"$904,333",,,,,,,,,,,,,,,,,,,
Jaleel McLaughlin,RB,DEN,"$903,333",,,,,,,,,,,,,,,,,,,
Emari Demercado,RB,ARI,"$903,333",,,,,,,,,,,,,,,,,,,
Julian Hill,TE,MIA,"$902,500",,,,,,,,,,,,,,,,,,,
T.J. Bass,RG,DAL,"$901,667",,,,,,,,,,,,,,,,,,,
Jake Bobo,WR,SEA,"$901,667",,,,,,,,,,,,,,,,,,,
Ben Sims,TE,MIN,"$901,667",,,,,,,,,,,,,,,,,,,
Nate Adkins,TE,DEN,"$901,667",,,,,,,,,,,,,,,,,,,
Malik Heath,WR,ATL,"$901,333",,,,,,,,,,,,,,,,,,,
Sean Tucker,RB,TB,"$900,000",,,,,,,,,,,,,,,,,,,
Justin Dedich,C,LAR,"$877,500",,,,,,,,,,,,,,,,,,,
Jalen Coker,WR,CAR,"$877,500",,,,,,,,,,,,,,,,,,,
Jack Westover,TE,NE,"$877,500",,,,,,,,,,,,,,,,,,,
Tyler Badie,RB,DEN,"$877,500",,,,,,,,,,,,,,,,,,,
George Holani,RB,SEA,"$877,500",,,,,,,,,,,,,,,,,,,
Bryce Oliver,WR,TEN,"$877,500",,,,,,,,,,,,,,,,,,,
Ryan Miller,WR,NYG,"$877,500",,,,,,,,,,,,,,,,,,,
Xavier Smith,WR,LAR,"$877,500",,,,,,,,,,,,,,,,,,,
Nikko Remigio,WR,KC,"$877,500",,,,,,,,,,,,,,,,,,,
Zaire Mitchell-Paden,TE,NO,"$840,000",,,,,,,,,,,,,,,,,,,
Emory Jones,QB,ATL,"$840,000",,,,,,,,,,,,,,,,,,,
Connor Bazelak,QB,TB,"$840,000",,,,,,,,,,,,,,,,,,,
Mason Pline,TE,NO,"$840,000",,,,,,,,,,,,,,,,,,,
Obinna Eze,LT,MIA,"$840,000",,,,,,,,,,,,,,,,,,,
Josh Cephus,WR,JAX,"$840,000",,,,,,,,,,,,,,,,,,,
Theo Benedet,RT,CHI,"$840,000",,,,,,,,,,,,,,,,,,,
Dayton Wade,WR,BAL,"$840,000",,,,,,,,,,,,,,,,,,,
Jacob Saylors,RB,DET,"$840,000",,,,,,,,,,,,,,,,,,,
Will Putnam,C,LV,"$840,000",,,,,,,,,,,,,,,,,,,
Corey Bullock,C,BAL,"$840,000",,,,,,,,,,,,,,,,,,,
Donovan Jennings,RT,GB,"$840,000",,,,,,,,,,,,,,,,,,,
Garrett Dellinger,LT,CLE,"$840,000",,,,,,,,,,,,,,,,,,,
Brycen Tremayne,WR,CAR,"$840,000",,,,,,,,,,,,,,,,,,,
Dalen Cambre,WR,NYG,"$840,000",,,,,,,,,,,,,,,,,,,
Zavier Scott,WR,MIN,"$840,000",,,,,,,,,,,,,,,,,,,
